[Tue Oct 15 23:38:12 2024] Connection initialized
[Tue Oct 15 23:39:08 2024] Connection initialized
[Tue Oct 15 23:46:10 2024] Connection initialized
[Tue Oct 15 23:46:13 2024] [Received message] Id: 3, Timestamp: 3, Type: REQUEST, Content: 
[Tue Oct 15 23:46:13 2024] [Sent message to Node 3] Id: 2, Timestamp: 5, Type: REPLY, Content: OK
[Tue Oct 15 23:46:13 2024] [Received message] Id: 3, Timestamp: 10, Type: RELEASE, Content: 
[Tue Oct 15 23:46:20 2024] [Received message] Id: 3, Timestamp: 13, Type: REQUEST, Content: 
[Tue Oct 15 23:46:20 2024] [Sent message to Node 3] Id: 2, Timestamp: 15, Type: REPLY, Content: OK
[Tue Oct 15 23:46:20 2024] [Received message] Id: 3, Timestamp: 19, Type: RELEASE, Content: 
[Tue Oct 15 23:46:22 2024] [Sent message to Node 1] Id: 2, Timestamp: 22, Type: REQUEST, Content: 
[Tue Oct 15 23:46:22 2024] [Sent message to Node 3] Id: 2, Timestamp: 23, Type: REQUEST, Content: 
[Tue Oct 15 23:46:22 2024] [Received message] Id: 1, Timestamp: 24, Type: REPLY, Content: OK
[Tue Oct 15 23:46:22 2024] [Received message] Id: 3, Timestamp: 25, Type: REPLY, Content: OK
[Tue Oct 15 23:46:22 2024] [Sent message to Node 1] Id: 2, Timestamp: 28, Type: RELEASE, Content: 
[Tue Oct 15 23:46:22 2024] [Sent message to Node 3] Id: 2, Timestamp: 29, Type: RELEASE, Content: 
[Tue Oct 15 23:46:23 2024] [Sent message to Node 1] Id: 2, Timestamp: 31, Type: REQUEST, Content: 
[Tue Oct 15 23:46:23 2024] [Sent message to Node 3] Id: 2, Timestamp: 32, Type: REQUEST, Content: 
[Tue Oct 15 23:46:23 2024] [Received message] Id: 1, Timestamp: 33, Type: REPLY, Content: OK
[Tue Oct 15 23:46:23 2024] [Received message] Id: 3, Timestamp: 34, Type: REPLY, Content: OK
[Tue Oct 15 23:46:23 2024] [Sent message to Node 1] Id: 2, Timestamp: 37, Type: RELEASE, Content: 
[Tue Oct 15 23:46:23 2024] [Sent message to Node 3] Id: 2, Timestamp: 38, Type: RELEASE, Content: 
[Tue Oct 15 23:46:24 2024] [Sent message to Node 1] Id: 2, Timestamp: 40, Type: REQUEST, Content: 
[Tue Oct 15 23:46:24 2024] [Sent message to Node 3] Id: 2, Timestamp: 41, Type: REQUEST, Content: 
[Tue Oct 15 23:46:24 2024] [Received message] Id: 1, Timestamp: 42, Type: REPLY, Content: OK
[Tue Oct 15 23:46:24 2024] [Received message] Id: 3, Timestamp: 43, Type: REPLY, Content: OK
[Tue Oct 15 23:46:24 2024] [Sent message to Node 1] Id: 2, Timestamp: 46, Type: RELEASE, Content: 
[Tue Oct 15 23:46:24 2024] [Sent message to Node 3] Id: 2, Timestamp: 47, Type: RELEASE, Content: 
[Tue Oct 15 23:46:26 2024] [Received message] Id: 1, Timestamp: 49, Type: REQUEST, Content: 
